Player,Slots,BJ,Craps,Bac,Bingo,Poker,Other,Total Spend,Gender,Age
Player 1,1013,6190,4276,868,0,0,0,12348,Female,58
Player 2,68,23,23,12,0,28,53,207,Male,55
Player 3,148,0,0,0,0,0,0,148,Female,34
Player 4,63,17,28,9,0,23,52,193,Male,21
Player 5,92,44,18,10,0,26,60,250,Female,68
Player 6,658,0,0,0,106,0,0,764,Female,59
Player 7,358,359,172,103,0,258,422,1671,Female,50
Player 8,139,0,0,0,0,0,0,139,Male,72
Player 9,673,279,103,103,0,161,546,1866,Female,31
Player 10,65,15,10,12,0,26,69,196,Male,55
Player 11,59,39,35,7,0,18,52,209,Male,44
Player 12,0,0,565,0,0,0,0,565,Female,29
Player 13,75,39,24,5,0,10,48,202,Female,31
Player 14,769,290,241,101,0,284,496,2181,Male,44
Player 15,0,0,0,0,0,508,0,508,Male,59
Player 16,855,199,193,103,0,251,677,2279,Male,40
Player 17,0,0,0,0,0,0,541,541,Male,48
Player 18,105,0,0,0,0,0,0,105,Male,35
Player 19,1040,287,142,77,0,300,138,1985,Female,31
Player 20,531,350,243,110,0,241,580,2056,Female,50
Player 21,67,43,19,15,0,16,52,211,Female,43
Player 22,768,0,0,0,0,0,0,768,Male,28
Player 23,64,0,0,0,0,0,0,64,Male,49
Player 24,0,430,0,0,0,0,0,430,Female,40
Player 25,70,37,23,11,0,33,68,241,Male,79
Player 26,322,0,0,0,117,0,0,439,Male,26
Player 27,86,30,12,8,0,14,61,212,Male,59
Player 28,692,260,210,110,0,163,572,2007,Male,59
Player 29,0,0,0,620,0,0,0,620,Male,60
Player 30,516,0,0,0,85,0,0,601,Female,46
Player 31,577,236,186,74,0,139,634,1845,Female,68
Player 32,121,0,0,0,0,0,0,121,Female,26
Player 33,608,133,207,44,0,213,393,1599,Female,45
Player 34,0,0,0,0,0,0,598,598,Female,50
Player 35,0,0,0,0,0,0,594,594,Male,38
Player 36,0,0,0,0,0,0,528,528,Male,40
Player 37,0,516,0,0,0,0,0,516,Male,44
Player 38,39,33,23,8,0,18,53,174,Male,41
Player 39,590,0,0,0,54,0,0,643,Male,41
Player 40,60,27,22,10,0,9,41,169,Female,31
Player 41,27,32,23,12,0,20,73,187,Female,36
Player 42,84,29,17,6,0,21,58,216,Male,51
Player 43,263,218,189,69,0,226,285,1251,Female,41
Player 44,941,3723,3957,1317,0,0,0,9938,Female,26
Player 45,0,496,0,0,0,0,0,496,Female,45
Player 46,42,45,23,6,0,22,47,186,Female,57
Player 47,98,22,16,3,0,20,57,217,Male,36
Player 48,1011,270,310,87,0,148,343,2170,Male,30
Player 49,89,0,0,0,0,0,0,89,Male,62
Player 50,99,0,0,0,0,0,0,99,Male,50
Player 51,0,418,0,0,0,0,0,418,Female,53
Player 52,960,301,146,67,0,165,832,2470,Male,31
Player 53,669,449,243,150,0,246,451,2208,Male,67
Player 54,688,201,124,81,0,177,488,1759,Female,62
Player 55,582,3156,3358,967,0,0,0,8063,Male,53
Player 56,1504,3379,4468,765,0,0,0,10116,Male,69
Player 57,788,205,252,133,0,209,519,2107,Male,36
Player 58,74,34,24,14,0,28,57,231,Female,21
Player 59,94,0,0,0,0,0,0,94,Female,29
Player 60,60,0,0,0,0,0,0,60,Female,55
Player 61,127,0,0,0,0,0,0,127,Female,45
Player 62,50,32,17,5,0,15,54,173,Female,49
Player 63,92,0,0,0,0,0,0,92,Male,63
Player 64,39,26,27,8,0,17,62,179,Male,68
Player 65,51,0,0,0,0,0,0,51,Female,30
Player 66,73,0,0,0,0,0,0,73,Female,27
Player 67,101,19,22,10,0,23,65,240,Female,56
Player 68,78,33,25,7,0,14,43,201,Male,41
Player 69,59,28,23,13,0,17,33,172,Female,47
Player 70,54,40,29,8,0,22,50,204,Female,32
Player 71,100,15,20,8,0,22,54,219,Female,54
Player 72,416,0,0,0,84,0,0,499,Female,28
Player 73,0,0,697,0,0,0,0,697,Male,30
Player 74,438,256,261,112,0,190,500,1757,Male,60
Player 75,412,3960,4302,599,0,0,0,9273,Male,33
Player 76,321,0,0,0,67,0,0,388,Male,47
Player 77,421,0,0,0,93,0,0,515,Female,53
Player 78,65,42,22,8,0,10,71,217,Female,67
Player 79,127,0,0,0,0,0,0,127,Male,60
Player 80,666,3919,4017,920,0,0,0,9523,Male,27
Player 81,119,0,0,0,0,0,0,119,Female,31
Player 82,592,0,0,0,0,0,0,592,Male,45
Player 83,63,0,0,0,0,0,0,63,Female,59
Player 84,885,252,198,91,0,190,418,2034,Male,47
Player 85,629,0,0,0,0,0,0,629,Female,63
Player 86,63,25,20,16,0,31,57,212,Male,60
Player 87,95,0,0,0,0,0,0,95,Female,62
Player 88,663,195,242,77,0,250,650,2077,Male,22
Player 89,95,39,29,12,0,15,59,250,Female,40
Player 90,64,0,0,0,0,0,0,64,Male,68
Player 91,879,457,187,101,0,158,213,1995,Female,33
Player 92,30,30,16,14,0,11,32,132,Male,53
Player 93,499,352,189,42,0,278,540,1900,Male,56
Player 94,61,34,20,14,0,30,70,229,Female,65
Player 95,325,0,0,0,97,0,0,422,Male,28
Player 96,120,0,0,0,0,0,0,120,Male,24
Player 97,82,0,0,0,0,0,0,82,Female,38
Player 98,58,37,19,10,0,7,43,175,Female,21
Player 99,176,0,0,0,0,0,0,176,Male,32
Player 100,0,0,0,0,0,0,641,641,Male,54
Player 101,64,30,22,18,0,13,62,209,Male,24
Player 102,0,0,605,0,0,0,0,605,Male,35
