Last updated 07/11/2016,,,,,,,
,,,,,,,
,,,,,,,
,,,,Gold price - Key Currencies,,,
,,,,,,,
,,,,National Currency Unit per troy ounce,,,
,,,,USD,EUR,GBP,JPY
,,,,,,,
,,,Name,US dollar,Euro,Pound sterling,Japanese yen
,,,12/31/69,35.2,22.24135,14.66239,12592.43816
,,,1/30/70,34.99,23.19885,14.53677,12496.35219
,,,2/27/70,35.02,23.26143,14.54923,12529.95188
,,,3/31/70,35.3,23.42317,14.67166,12627.64624
,,,4/30/70,35.85,23.78739,14.92507,12858.35769
,,,5/29/70,35.45,23.53597,14.80167,12757.88483
,,,6/30/70,35.49,23.55071,14.84938,12764.71531
,,,7/31/70,35.3,23.44754,14.81327,12728.16415
,,,8/31/70,35.8,23.58015,14.99162,12799.91765
,,,9/30/70,36.4,23.97657,15.23013,13018.65517
,,,10/30/70,37.25,24.57721,15.59883,13341.25016
,,,11/30/70,37.54,24.7077,15.68742,13403.92856
,,,12/31/70,37.38,24.41424,15.46339,13239.03264
,,,1/29/71,38.05,25.08689,15.74918,13613.2104
,,,2/26/71,38.8,25.57503,16.05827,13867.10448
,,,3/31/71,38.88,25.60818,16.08399,13892.94658
,,,4/30/71,39.7,26.14384,16.40904,14188.37692
,,,5/31/71,40.84,26.89863,16.8893,14594.97987
,,,6/30/71,40.1,26.39388,16.5723,14328.74064
,,,7/30/71,42.4,27.91728,17.53081,15153.73633
,,,8/31/71,40.65,26.10252,16.53111,13538.97924
,,,9/30/71,42.6,27.38985,17.14563,14059.41333
,,,10/29/71,42.34,27.22101,17.00061,13957.50144
,,,11/30/71,43.6,27.92759,17.48476,14250.07783
,,,12/31/71,43.55,27.06001,17.06103,13691.4779
,,,1/31/72,47.15,28.9905,18.17796,14624.17151
,,,2/29/72,48.2,29.51297,18.49437,14619.79982
,,,3/31/72,48.38,29.35888,18.49671,14695.63663
,,,4/28/72,49.6,30.17176,18.99583,15092.19047
,,,5/31/72,59.45,36.005,22.74815,18096.15119
,,,6/30/72,64.65,39.02776,26.45255,19085.51651
,,,7/31/72,68.3,41.30601,27.87755,20559.6918
,,,8/31/72,66.88,40.23167,27.31601,20090.92243
,,,9/29/72,64.2,38.77824,26.52894,19326.33602
,,,10/31/72,64.39,39.2677,27.55242,19410.67892
,,,11/30/72,63.6,38.70666,27.03507,19127.30893
,,,12/29/72,64.9,39.55253,27.65823,19568.19742
,,,1/31/73,66,40.81057,27.73111,19897.07381
,,,2/28/73,85,48.13705,34.2466,22585.6306
,,,3/30/73,90,51.83111,36.30499,23834.2248
,,,4/30/73,90.72,52.60549,36.44599,24145.46736
,,,5/31/73,114.75,65.04366,44.72815,30392.77922
,,,6/29/73,123.25,67.54318,47.76207,32263.27701
,,,7/31/73,115.6,63.58138,46.23076,30535.41385
,,,8/31/73,103.5,57.34774,42.08686,27419.58873
,,,9/28/73,100,54.92933,41.42848,26534.94252
,,,10/31/73,98,54.30066,40.18205,26098.24108
,,,11/30/73,101,58.89005,43.07039,28232.64235
,,,12/31/73,112.25,65.94655,48.32114,31384.57875
,,,1/31/74,132.5,82.65106,58.06311,39453.8853
,,,2/28/74,162.5,100.07604,70.53874,46802.4562
,,,3/29/74,173,100.67959,72.23384,47602.09754
,,,4/30/74,169.25,97.53068,69.56434,47234.18347
,,,5/31/74,156.75,92.29097,65.4079,44183.03408
,,,6/28/74,144.25,85.07806,60.4442,41041.61473
,,,7/31/74,156,91.6079,65.54627,46668.94272
,,,8/30/74,156,93.60627,67.31397,47254.40549
,,,9/30/74,151.25,90.39555,64.8446,45131.84239
,,,10/31/74,167,99.30811,71.54185,50150.83476
,,,11/29/74,184,107.71159,79.10582,55215.86136
,,,12/31/74,186.5,106.17632,79.36175,56029.39808
,,,1/31/75,175.8,98.80129,73.88111,52492.52827
,,,2/28/75,181.75,99.58179,74.80964,52067.51161
,,,3/31/75,177.25,98.85409,73.83883,51834.86084
,,,4/30/75,167,92.691,70.91296,48788.11989
,,,5/30/75,167,91.82122,72.26309,48777.5882
,,,6/30/75,166.25,92.62667,76.4896,49565.2595
,,,7/31/75,166.7,98.40801,77.62159,49794.25142
,,,8/29/75,159.8,94.55606,75.71671,47625.80771
,,,9/30/75,141.25,85.78029,69.14529,42800.93605
,,,10/31/75,142.9,84.59354,68.78465,43162.36519
,,,11/28/75,138.15,83.48895,68.47584,41975.68747
,,,12/31/75,140.25,84.68191,69.32094,42788.35143
,,,1/30/76,128.15,80.11987,63.12811,38950.0462
,,,2/27/76,132.3,84.37334,65.31725,40006.81655
,,,3/31/76,129.6,85.94021,67.60564,38873.2404
,,,4/30/76,128.4,87.07182,69.76365,38474.65435
,,,5/31/76,125.5,84.51886,71.36772,37717.83804
,,,6/30/76,123.8,83.1318,69.35578,36897.27413
,,,7/30/76,112.5,75.94623,63.00758,33015.96982
,,,8/31/76,104,70.11929,58.5092,30015.2195
,,,9/30/76,116,78.10382,69.83752,33347.41433
,,,10/29/76,123.15,83.05655,77.64824,36300.5519
,,,11/30/76,130.25,87.92121,78.82005,38700.64624
,,,12/31/76,134.5,90.206,79.03869,39440.30494
,,,1/31/77,132.3,89.94698,77.14293,38185.74983
,,,2/28/77,142.75,97.07567,83.29451,40377.0114
,,,3/31/77,148.9,102.07629,86.56985,41380.3866
,,,4/29/77,147.25,100.63604,85.64041,40936.1181
,,,5/31/77,142.95,97.73407,83.15882,39666.75625
,,,6/30/77,143,97.60672,83.13961,38285.79233
,,,7/29/77,144.1,100.31705,82.95914,38493.04234
,,,8/31/77,146,102.03731,83.76848,39036.11299
,,,9/30/77,154.05,107.80298,88.14948,40680.98282
,,,10/31/77,161.5,111.50646,87.74795,40276.30716
,,,11/30/77,160.05,110.17812,88.08482,39109.66096
,,,12/30/77,164.95,110.07522,86.04591,39538.09642
,,,1/31/78,175.75,117.3962,90.12826,42495.47366
,,,2/28/78,182.25,119.81684,93.87073,43462.14916
,,,3/31/78,181.6,118.79143,97.32056,40096.06949
,,,4/28/78,170.85,113.17922,93.38625,38241.67073
,,,5/31/78,184.15,122.76258,100.46381,40838.53952
,,,6/30/78,183.05,120.42746,98.41399,37298.90225
,,,7/31/78,200.25,129.16098,103.67598,37789.8942
,,,8/31/78,208.7,132.48419,107.38361,39731.93525
,,,9/29/78,217.1,135.67594,109.84065,41080.4021
,,,10/31/78,242.6,141.49019,116.91572,43492.64885
,,,11/30/78,193.4,122.39974,99.46011,38590.52323
