areaname,county,state,r1,r2,Lcount,HDcount,pop_2000,pop_2010,income_2000,income_2010,pct_U18_2000,pct_U18_2010,pctcollege_2000,pctcollege_2010,ownhome_2000,ownhome_2010,density_2000,density_2010,pctwhite_2000,pctwhite_2010,pctblack_2000,pctblack_2010
Autauga,1001,AL,6,3,1,1,43671,54571,48458,63458,28.6,26.8,18,21.8,80.8,75.4,73.3,91.8,80.7,78.5,22.1,17.7
Baldwin,1003,AL,6,3,2,2,140415,182265,47028,57447,24.4,23,23.1,26.6,79.5,72.5,88,114.6,87.1,85.7,12.2,9.4
Barbour,1005,AL,6,3,0,0,29038,27457,31877,40109,25.4,21.9,10.9,12.4,73.1,66.8,32.8,31,51.3,48,44.3,46.9
Bibb,1007,AL,6,3,0,0,20826,22915,37230,51951,25.4,22.7,7.1,11.1,80.2,75.6,33.4,36.8,76.7,75.8,24.2,22
Blount,1009,AL,6,3,0,0,51024,57322,41573,53807,25.4,24.6,9.6,12.3,83.4,80.6,79,88.9,95.1,92.6,1.5,1.3
Bullock,1011,AL,6,3,0,0,11714,10914,23990,33763,26.1,22.3,7.7,9,74.5,68.8,18.7,17.5,25.3,23,65.4,70.2
Butler,1013,AL,6,3,0,0,21399,20947,30915,39808,26.9,24.1,10.4,12.3,76.2,70.3,27.5,27,58.4,54.4,42.5,43.4
Calhoun,1015,AL,6,3,2,1,112249,118572,39908,48971,23.6,22.9,15.2,17.5,72.5,68.8,184.6,195.7,78.9,74.9,21.7,20.6
Chambers,1017,AL,6,3,0,0,36583,34215,36598,40753,24.6,22.5,9.5,10.3,75.7,70.6,61.3,57.4,60.9,58.8,36.2,38.7
Cherokee,1019,AL,6,3,0,0,23988,25989,36920,47489,22.2,21.4,9.7,10,81.7,78.5,43.4,46.9,92.8,92.7,5,4.6
Chilton,1021,AL,6,3,0,0,39593,43643,39505,47618,25.7,25.1,9.9,11.3,82.3,76.6,57.1,63,86.7,84.1,10.7,9.7
Choctaw,1023,AL,6,3,0,0,15922,13859,31870,36453,26.1,22.7,9.6,10.8,86.3,83,17.4,15.2,55.1,55.8,37.8,43.4
Clarke,1025,AL,6,3,0,0,27867,25833,34546,41197,28,24.7,12.1,13.5,81.2,77.4,22.5,20.9,55.9,54.5,40.7,43.9
Clay,1027,AL,6,3,0,0,14254,13932,34033,44601,23.8,22.6,7.8,9,77.2,75.2,23.6,23.1,82.6,81.7,14.5,14.8
Cleburne,1029,AL,6,3,0,0,14123,14972,35579,40767,24.3,23.7,9.2,10.2,80.4,77.4,25.2,26.7,94.7,94,3.5,3.3
Coffee,1031,AL,6,3,1,0,43615,49948,39664,54096,24.8,24.2,19.3,21.5,71.4,67.5,64.2,73.6,77.1,74.7,19.2,16.7
