Movie,Opening_Week_Revenue,Num_Theaters,Overall_Rating,Genre
The Dark Knight,158.4,4366,82,1
Iron Man,98.6,4105,79,1
Indiana Jones and the Kingdom of the Crystal Skull,100.1,4260,65,1
Hancock,62.6,3965,49,1
Quantum of Solace,67.5,3451,58,1
The Incredible Hulk,55.4,3505,61,1
Wanted,50.9,3175,64,1
Get Smart,38.7,3911,54,1
The Mummy: Tomb of the Dragon Emperor,40.5,3760,31,1
Journey to the Center of the Earth,21,2811,57,1
Eagle Eye,29.2,3510,43,1
"10,000 B.C.",35.9,3410,34,1
Valkyrie,21,2711,56,1
Jumper,27.4,3428,35,1
Cloverfield,40.1,3411,64,1
The Day the Earth Stood Still (2008),30.5,3560,40,1
Hellboy II: The Golden Army,34.5,3204,78,1
Spider-Man 3,151.1,4252,59,1
Transformers,70.5,4011,61,1
Pirates of the Caribbean: At World's End,114.7,4362,50,1
I Am Legend,77.2,3606,65,1
The Bourne Ultimatum,69.3,3660,85,1
National Treasure: Book of Secrets,44.8,3832,48,1
300,70.9,3103,51,1
Rush Hour 3,49.1,3778,44,1
Live Free or Die Hard,33.4,3408,69,1
Fantastic Four: Rise of the Silver Surfer,58.1,3959,45,1
Ghost Rider,45.4,3619,35,1
Beowulf,27.5,3153,59,1
Disturbia,22.2,2925,62,1
Pirates of the Caribbean: Dead Man's Chest,135.6,4133,53,1
X-Men: The Last Stand,102.8,3690,58,1
The Da Vinci Code,77.1,3735,46,1
Superman Returns,52.5,4065,72,1
Casino Royale,40.8,3434,81,1
Mission: Impossible III,47.7,4054,66,1
The Departed,26.9,3017,86,1
Inside Man,29,2818,76,1
Star Wars: Episode III - Revenge of the Sith,108.4,3661,68,1
War of the Worlds,64.9,3908,73,1
King Kong,50.1,3568,81,1
Batman Begins,48.7,3858,70,1
Mr. &amp; Mrs. Smith,50.3,3424,55,1
Fantastic Four,56.1,3602,40,1
Flightplan,24.6,3424,53,1
The Exorcism of Emily Rose,30.1,2981,46,1
Spider-Man 2,88.2,4152,83,1
The Day After Tomorrow,68.7,3425,48,1
The Bourne Supremacy,52.5,3165,73,1
National Treasure,35.1,3017,39,1
"I, Robot",52.2,3420,59,1
Troy,46.9,3411,56,1
