IRI_KEY,Month,Region,Low_Income,High_Income,Price.Campbell,Price.PL,Price.Progresso,Sales.Progresso,Category_Sales
289854,12,South,0,0,1.494,1.102,1.718,921.716,5663.5959
534863,2,MidWest,0,1,1.594,1.053,1.306,1309.433,3700.0734
683960,12,South,0,1,1.445,0.906,1.7,911.686,10253.6026
257658,6,MidWest,0,0,1.67,1.169,2.051,18.844,806.6891
210202,2,South,1,0,1.278,0.833,1.692,142.47,2837.7123
534005,12,South,1,0,1.294,0.982,1.654,323.972,3717.7864
279734,6,South,0,0,1.792,1.14,2.334,149.865,1239.2536
650517,3,MidWest,1,0,1.819,1.243,2.287,707.076,12197.1856
1130099,8,MidWest,0,1,1.635,1.19,2.167,547.366,4373.5683
684023,3,East,0,0,1.443,1.014,1.089,8049.928,15795.2988
286123,10,MidWest,0,0,1.287,1.129,2.069,647.881,14226.6591
656444,7,West,0,0,1.603,1.017,1.796,254.298,2797.5152
209126,12,South,0,0,1.012,0.892,1.463,256.691,6458.3326
240464,5,East,0,0,1.262,1.037,1.366,1141.946,5856.3507
271762,11,MidWest,0,0,1.235,0.91,1.615,684.414,9006.668
210923,7,East,0,0,1.424,0.918,1.767,568.252,3369.7854
252805,4,MidWest,0,0,1.267,1.154,1.88,702.036,8797.6676
223450,1,South,0,0,1.378,0.85,1.358,802.206,4563.7649
689969,3,South,0,1,1.287,1.356,1.244,1108.501,3022.0485
220612,6,South,1,0,1.153,1.021,1.124,123.159,1495.5781
251374,8,East,1,0,1.302,1.02,1.478,1420.709,5901.7731
268492,11,East,0,0,1.108,0.947,1.108,9850.277,21755.3005
243575,7,East,0,1,1.583,1.272,1.844,779.224,2848.093
203614,4,East,0,1,1.474,1.24,1.699,599.972,2109.0626
930976,6,South,0,1,1.584,1.004,1.874,219.115,1250.0505
217804,12,East,0,0,1.122,0.907,1.392,3072.654,15737.1933
249962,9,South,1,0,1.633,1.037,1.763,7,1126.7529
255381,11,East,0,1,1.564,1.14,1.129,10939.217,17471.7266
267466,8,West,0,0,1.475,1.343,2.029,237.065,2192.495
264945,1,West,0,0,1.186,1.024,1.389,494.139,3566.7656
648019,6,West,0,0,1.333,1.388,1.97,417.567,3565.105
454632,10,West,1,0,1.976,1.444,1.26,1509.114,3391.3484
200492,7,West,0,0,1.909,1.279,1.718,911.127,1951.2645
278625,9,East,1,0,1.182,0.959,1.374,365.377,6429.8708
234212,11,MidWest,0,0,1.475,0.938,1.435,4249.452,10780.6187
224281,7,South,1,0,1.47,1.097,1.848,11.85,504.3065
658361,1,South,0,0,1.4,1.048,1.574,985.256,9034.1374
656987,1,MidWest,0,0,1.125,0.908,1.515,610.507,10259.7201
400075,4,South,0,0,1.616,1.046,2.047,352.449,2674.1585
227758,1,East,0,0,1.37,0.848,1.932,3688.437,9663.3549
238522,7,East,0,0,1.49,1.588,2.169,251.221,2025.8436
258871,10,East,0,0,1.097,0.999,1.087,765.972,5992.6824
259335,5,South,0,0,1.47,1.078,1.802,358.622,2190.0285
536067,2,East,0,0,1.336,1.136,1.008,6973.283,13153.4815
287431,6,South,1,0,1.664,1.153,2.23,83.657,1644.9999
294613,3,South,0,0,1.398,1.482,1.544,1268.943,4608.3082
233805,4,MidWest,0,0,1.27,1.107,1.825,836.314,5352.4703
258606,11,MidWest,0,0,1.223,1.079,1.743,930.323,7893.8071
278415,8,West,0,0,1.374,0.911,1.943,381.35,3913.1692
228078,12,South,0,0,1.518,1.046,1.532,676.865,7749.3324
256427,9,South,1,0,1.399,1.042,1.712,116.844,3681.5157
244708,2,South,0,0,1.133,1.024,1.019,2967.508,10790.8548
263066,7,West,0,0,1.485,1.001,2.03,31.782,933.48
263066,2,West,0,0,1.519,1.112,2.239,43.657,1187.407
251254,10,East,0,0,1.552,1.112,1.429,9182.663,15904.9795
253936,12,South,1,0,1.243,1.154,1.397,1271.677,7996.718
264960,9,South,1,0,1.169,1.064,1.34,156.658,1328.33
234598,8,MidWest,0,1,1.3,1.098,1.744,230.158,3440.1031
238751,8,West,0,1,1.548,1.412,1.212,1396.343,3596.1406
267136,8,West,0,0,1.833,1.44,1.739,1665.011,4225.4325
265018,5,MidWest,0,1,1.698,1.631,2.234,370.285,3667.7228
200485,3,South,1,0,1.371,0.807,1.891,121.127,1708.599
281536,7,East,1,0,1.273,1.028,1.318,357.752,2746.0628
273348,9,West,0,0,1.122,0.692,1.447,321.891,14391.3317
260230,6,MidWest,0,0,1.91,1.216,2.269,690.936,3895.1379
204483,1,East,0,0,1.249,1.08,1.027,2445.904,5167.9959
228137,8,South,0,1,1.556,1.212,1.964,269.485,1671.3543
236396,9,East,0,0,1.419,0.899,1.306,662.346,2982.6013
247127,9,MidWest,1,0,1.291,0.873,1.979,69.563,1430.3132
294261,6,MidWest,0,0,1.273,0.936,1.696,10.563,517.6553
228974,7,South,0,0,1.44,1.172,1.92,18.875,540.6606
272725,11,West,0,1,1.347,1.4,1.486,2225.654,8062.7835
227758,1,East,0,0,1.506,1.065,1.015,6944.554,11048.9673
648850,8,West,0,0,1.871,1.438,2.198,1251.109,5669.7784
218003,7,East,0,0,1.5,1.309,1.752,186.239,1112.7311
249875,8,West,0,0,1.173,1.116,1.027,2341.919,4931.501
280880,10,South,0,0,1.084,0.863,1.642,132.057,1862.9947
235527,7,MidWest,0,0,1.388,1.132,1.763,26.063,958.2109
415288,11,West,1,0,1.379,1.048,1.366,2531.973,7341.0211
253279,1,East,0,1,2.065,1.275,2.121,1309.791,3276.1917
261765,7,South,0,1,1.786,1.02,2.038,199.344,1159.472
258879,12,MidWest,0,0,1.255,0.921,1.005,7191.788,16458.2587
272948,4,West,1,0,1.695,1.479,2.224,306.272,2433.2204
209989,11,South,0,0,1.31,1.094,1.16,1679.109,7211.8971
241158,9,West,0,0,1.679,1.076,1.293,2282.715,7399.1895
205066,3,East,0,1,1.208,0.925,1.126,3360.36,8808.1991
274671,6,East,0,1,1.386,1.074,1.6,1525.003,4954.5631
262684,8,MidWest,0,0,1.372,1.469,1.872,170.752,3163.5071
256761,7,East,0,0,1.648,1.389,1.924,725.785,2615.3461
220679,9,East,0,0,1.495,1.268,1.599,2527.068,8647.3016
532676,1,East,1,0,1.234,1.269,1.803,971.853,9225.5262
203231,7,East,0,1,1.653,1.356,1.866,343.221,924.7075
200479,10,West,0,1,1.88,1.456,2.34,126.228,719.2653
537194,3,South,0,0,1.046,0.944,1.573,254.69,3510.1935
218548,10,South,1,0,1.292,0.882,1.553,267.171,2775.9701
262313,2,West,0,0,1.524,1.168,1.456,4006.826,10056.5947
270995,11,South,1,0,1.388,0.78,1.641,119.534,2411.808
290683,1,South,0,0,0.604,1.128,1.322,29.188,1749.8397
216202,8,West,1,0,1.541,1.205,1.84,189.378,2197.6763
232271,4,South,0,0,1.27,0.996,2.031,25.588,616.3151
652159,4,East,1,0,1.222,1.061,1.645,2739.782,12432.5702
294818,10,South,0,0,1.066,0.859,1.422,423.416,3627.7016
293225,1,South,1,0,1.089,0.951,1.263,286.187,4956.6182
220612,9,South,1,0,1.165,1.052,1.303,149.533,2369.1255
210913,12,South,0,0,1.105,0.97,1.691,204.481,2134.5425
239012,9,South,0,0,1.455,1.15,1.345,1209.235,3372.0553
244163,11,West,0,0,1.379,0.881,1.254,793.194,4125.2354
287202,6,East,0,1,1.77,1.344,2.097,780.439,2575.466
277002,9,West,0,1,1.963,1.112,1.939,1454.176,4989.5712
291872,1,East,0,0,1.324,0.922,1.351,1697.944,4995.2594
240519,5,East,1,0,1.146,0.971,1.946,1025.159,10150.3645
652626,4,East,1,0,1.132,0.793,1.052,1046.194,6884.7248
210582,5,South,1,0,1.397,1.138,1.82,27.188,735.0327
234140,11,East,0,0,1.091,1.176,1.467,2321.726,8088.4686
684238,2,South,0,0,1.118,1.085,1.817,560.898,3723.4971
291349,9,West,0,0,1.44,1.162,1.845,428.963,2654.0351
205926,11,South,0,0,1.154,0.777,1.003,476.975,2459.7634
259446,1,West,0,0,1.575,1.317,2.148,1269.236,4189.0953
233072,3,East,0,0,1.761,1.093,1.254,5745.866,9209.7481
671716,12,South,0,0,1.376,0.871,1.573,165.116,1691.5072
240394,4,East,0,0,1.561,1.101,1.943,1179.834,9106.9366
228194,7,West,0,0,1.699,1.51,2.216,379.723,3252.2682
278275,10,West,0,1,1.444,1.13,1.713,599.912,1985.1949
535857,6,South,1,0,1.14,0.912,1.305,197.158,2580.0249
266821,5,MidWest,1,0,1.496,0.999,1.719,55.432,1052.6566
535552,10,West,1,0,1.111,0.971,1.253,2492.672,14409.8512
228037,6,MidWest,0,0,1.452,1.111,1.92,140.167,1316.7312
274134,2,West,0,0,1.041,1.189,1.777,1136.293,12426.1795
287183,8,MidWest,0,0,1.289,1.076,1.683,762.593,4901.5028
688857,8,South,0,1,1.228,1.027,1.716,471.767,3821.1354
1081323,7,South,0,0,1.621,1.136,1.764,271.887,2245.2356
227099,5,West,0,1,1.71,1.306,2.056,754.895,6688.0887
234616,10,West,1,0,1.359,1.332,1.663,1182.075,4957.4235
265018,5,MidWest,0,1,1.648,1.144,2.204,477.16,4363.1438
200171,12,MidWest,0,1,1.217,1.139,1.55,2155.983,17018.2528
273435,2,MidWest,0,0,1.516,1.045,1.335,354.099,2615.5438
535679,12,West,0,1,1.554,1.102,1.142,4091.567,11377.005
253179,4,East,1,0,1.339,0.945,1.173,3825.505,7130.7397
223199,4,East,1,0,1.265,0.986,1.366,589.179,3518.7264
648761,6,West,0,1,1.487,1.1,2.083,610.757,4847.7297
271075,10,West,1,0,1.649,1.158,1.39,2468.603,5494.7782
272133,7,South,1,0,1.381,1.061,1.427,334.16,2925.5111
284850,11,East,1,0,1.407,0.919,1.1,1861.921,5064.8755
269838,4,West,1,0,1.318,1.015,1.497,1833.394,5389.1104
290528,12,South,0,1,1.544,1.029,2.012,711.132,4356.764
256405,1,MidWest,0,0,1.394,1.181,1.774,2074.491,5432.8445
223084,12,East,0,1,1.254,1.041,1.505,3702.531,13490.0955
279714,7,MidWest,0,0,1.252,1.071,1.704,895.727,12533.3912
648567,9,MidWest,0,1,1.322,1.054,1.465,920.573,5272.3712
239622,2,West,0,1,1.303,1.246,1.175,1139.764,4390.2494
284767,5,MidWest,1,0,1.488,1.229,1.903,161.377,1374.0092
657979,6,East,0,0,1.365,1.073,1.818,3051.864,10988.5306
230104,6,East,1,0,1.343,1.11,1.772,201.752,2709.2107
672605,7,South,0,0,1.547,0.874,2.192,240.927,2140.8075
266082,2,East,0,0,1.274,0.97,1.221,1187.561,3485.7929
643793,6,South,0,0,1.695,1.09,2.048,51.56,802.962
684049,6,South,1,0,1.448,0.894,1.838,131.026,1700.8784
243388,4,MidWest,0,0,1.174,0.774,1.857,895.039,11592.7832
267552,2,West,0,0,1.642,1.278,1.548,2231.961,7400.4296
286934,11,South,0,0,1.63,1.479,1.218,3526.278,7892.7903
289400,1,South,0,1,1.272,0.949,1.512,162.783,2039.5565
264108,3,South,1,0,1.374,1.222,1.986,233.278,2101.5619
244327,7,West,0,0,1.54,1.382,2.182,211.19,2640.029
250381,10,South,0,1,1.441,0.956,1.758,382.097,4044.9756
661051,4,South,1,0,1.461,0.908,1.941,77.526,990.4238
250029,11,South,1,0,1.532,1.039,1.95,27.007,669.4845
237464,9,West,0,0,1.216,1.181,1.392,587.789,3779.9354
294261,4,MidWest,0,0,1.256,0.913,1.738,95.158,2785.3668
261995,2,West,0,0,1.916,1.078,1.333,1350.495,2865.9659
656818,7,East,0,0,1.742,1.308,2.12,718.233,2501.1731
669995,1,South,0,1,1.26,0.866,1.419,745.931,4135.7466
250819,11,South,0,0,1.455,1.054,1.333,1818.759,6730.3395
533864,7,MidWest,0,0,1.464,1.079,1.273,817.603,4074.2139
264603,8,MidWest,0,0,1.375,1.315,1.399,2166.402,8288.6319
247176,7,East,0,0,1.672,1.198,2.035,1434.602,6463.0199
1130281,1,MidWest,0,1,1.452,1.076,1.661,1489.071,7287.6282
242601,12,South,1,0,1.075,0.802,1.238,317.436,3250.2003
268335,7,East,0,1,1.721,1.268,1.79,317.971,979.8102
253546,8,South,0,0,1.361,1.075,1.857,80.531,1003.0862
292476,1,West,0,0,1.2,1.373,1.513,745.693,4890.8208
648074,12,South,0,1,1.494,0.956,1.713,1292.111,6335.726
272110,2,West,0,1,1.314,1.227,1.268,2277.619,6980.6356
200415,5,South,0,0,1.332,1.175,1.917,54.219,1011.7627
247923,9,South,0,1,1.51,0.875,1.635,392.427,5355.1332
649471,5,South,1,0,1.502,1.25,1.922,107.388,1952.9892
240742,5,MidWest,0,0,1.541,1.183,1.879,283.222,2270.4758
237281,5,West,0,1,1.916,1.409,1.615,1238.421,3978.6506
278625,4,East,1,0,1.351,1.049,1.285,760.012,5775.7104
252154,1,South,0,0,1.56,0.541,2.275,577.171,8143.118
272948,10,West,1,0,1.41,1.426,0.917,5414.123,8084.9483
657004,8,South,0,0,1.155,0.865,1.544,865.414,14324.2399
238447,4,South,0,0,1.538,1.134,2.023,393.08,2899.1642
635455,8,West,0,0,1.827,1.275,1.781,1089.369,5052.7876
267192,9,MidWest,0,0,1.429,0.647,1.385,383.785,1349.8315
265587,3,East,0,0,1.552,1.04,0.971,6202.89,9718.9257
283481,9,East,0,0,1.447,1.208,1.116,3472.622,6337.9034
