Date,AMZN,KMX,GOOG,GE
29/12/2017,1169.47,64.13,1046.4,17.45
28/12/2017,1186.1,64.81,1048.14,17.36
27/12/2017,1182.26,64.91,1049.37,17.38
26/12/2017,1176.76,65.55,1056.74,17.43
22/12/2017,1168.36,65.23,1060.12,17.5
21/12/2017,1174.76,66,1063.63,17.47
20/12/2017,1177.62,68.47,1064.95,17.45
19/12/2017,1187.38,67.85,1070.68,17.59
18/12/2017,1190.58,68.52,1077.14,17.76
15/12/2017,1179.14,67.73,1064.19,17.82
14/12/2017,1174.26,67.09,1049.15,17.64
13/12/2017,1164.13,67.47,1040.61,17.76
12/12/17,1165.08,66.86,1040.48,17.91
11/12/17,1168.92,67.97,1041.1,17.65
8/12/17,1162,67.48,1037.05,17.71
7/12/17,1159.79,66.97,1030.93,17.71
6/12/17,1152.35,66.55,1018.38,17.66
5/12/17,1141.57,67.72,1005.15,17.76
4/12/17,1133.95,70.71,998.68,17.95
1/12/17,1162.35,68.38,1010.17,17.88
30/11/2017,1176.75,68.91,1021.41,18.29
29/11/2017,1161.27,68.5,1021.66,18.48
28/11/2017,1193.6,67.46,1047.41,18.41
27/11/2017,1195.83,67.87,1054.21,18.12
24/11/2017,1186,68.05,1040.61,18.19
22/11/2017,1156.16,67.99,1035.96,18.15
21/11/2017,1139.49,68.75,1034.49,17.83
20/11/2017,1126.31,69.62,1018.38,17.98
17/11/2017,1129.88,69.45,1019.09,18.21
16/11/2017,1137.29,70.55,1032.5,18.25
15/11/2017,1126.69,70.72,1020.91,18.26
14/11/2017,1136.84,70.94,1026,17.9
13/11/2017,1129.17,72.35,1025.75,19.02
10/11/17,1125.35,72.68,1028.07,20.49
9/11/17,1129.13,72.18,1031.26,19.99
8/11/17,1132.88,73.44,1039.85,20.12
7/11/17,1123.17,73.42,1033.33,20.21
6/11/17,1120.66,74.91,1025.9,20.13
3/11/17,1111.6,75.19,1032.48,20.14
2/11/17,1094.22,75.98,1025.58,19.94
1/11/17,1103.68,74.46,1025.5,20.02
31/10/2017,1105.28,75.1,1016.64,20.16
30/10/2017,1110.85,74.95,1017.11,20.41
27/10/2017,1100.95,74.36,1019.27,20.79
26/10/2017,972.43,74.86,972.56,21.32
25/10/2017,972.91,74.17,973.33,21.5
24/10/2017,975.9,74.78,970.54,21.89
23/10/2017,966.3,74.39,968.45,22.32
20/10/2017,982.91,75.14,988.2,23.83
19/10/2017,986.61,74.84,984.45,23.58
18/10/2017,997,75.26,992.81,23.12
17/10/2017,1009.13,75.37,992.18,23.19
16/10/2017,1006.34,75.46,992,23.36
13/10/2017,1002.94,75.44,989.68,22.98
12/10/17,1000.93,75.7,987.83,23.05
11/10/17,995,76.06,989.25,23.07
10/10/17,987.2,76.23,972.6,23.36
9/10/17,990.99,76.18,977,23.43
6/10/17,989.58,76.81,978.89,24.39
5/10/17,980.85,76.37,969.96,24.54
4/10/17,965.45,76.45,951.68,24.48
3/10/17,957.1,76.33,957.79,24.8
2/10/17,959.19,76.59,953.27,24.57
29/09/2017,961.35,75.81,959.11,24.18
28/09/2017,956.4,75.93,949.5,24.24
27/09/2017,950.87,75.35,944.49,24.37
26/09/2017,938.6,73.59,924.86,24.93
25/09/2017,939.79,74.29,920.97,25.11
22/09/2017,955.1,74.19,928.53,24.87
21/09/2017,964.65,68.84,932.45,24.75
20/09/2017,973.21,68.67,931.58,24.32
19/09/2017,969.86,68.46,921.81,24.2
18/09/2017,974.19,68.34,915,24.46
15/09/2017,986.79,68.08,920.29,23.93
14/09/2017,992.21,69.46,925.11,24.26
13/09/2017,999.6,69.09,935.09,24.11
12/9/17,982.58,68.35,932.07,23.91
