Car-Price,Main. Price,Doors,Persons,Boot Space,Safety,Car Acceptability
vhigh,vhigh,2,2,-1,0,unacc
vhigh,vhigh,2,2,-1,1,unacc
vhigh,vhigh,2,2,0,-1,unacc
vhigh,vhigh,2,2,0,0,unacc
vhigh,vhigh,2,2,0,1,unacc
vhigh,vhigh,2,2,1,-1,unacc
vhigh,vhigh,2,2,1,0,unacc
vhigh,vhigh,2,2,1,1,unacc
vhigh,vhigh,2,4,-1,-1,unacc
vhigh,vhigh,2,4,-1,0,unacc
vhigh,vhigh,2,4,-1,1,unacc
vhigh,vhigh,2,4,0,-1,unacc
vhigh,vhigh,2,4,0,0,unacc
vhigh,vhigh,2,4,0,1,unacc
vhigh,vhigh,2,4,1,-1,unacc
vhigh,vhigh,2,4,1,0,unacc
vhigh,vhigh,2,4,1,1,unacc
vhigh,vhigh,2,6,-1,-1,unacc
vhigh,vhigh,2,6,-1,0,unacc
vhigh,vhigh,2,6,-1,1,unacc
vhigh,vhigh,2,6,0,-1,unacc
vhigh,vhigh,2,6,0,0,unacc
vhigh,vhigh,2,6,0,1,unacc
vhigh,vhigh,2,6,1,-1,unacc
vhigh,vhigh,2,6,1,0,unacc
vhigh,vhigh,2,6,1,1,unacc
vhigh,vhigh,3,2,-1,-1,unacc
vhigh,vhigh,3,2,-1,0,unacc
vhigh,vhigh,3,2,-1,1,unacc
vhigh,vhigh,3,2,0,-1,unacc
vhigh,vhigh,3,2,0,0,unacc
vhigh,vhigh,3,2,0,1,unacc
vhigh,vhigh,3,2,1,-1,unacc
vhigh,vhigh,3,2,1,0,unacc
vhigh,vhigh,3,2,1,1,unacc
vhigh,vhigh,3,4,-1,-1,unacc
vhigh,vhigh,3,4,-1,0,unacc
vhigh,vhigh,3,4,-1,1,unacc
vhigh,vhigh,3,4,0,-1,unacc
vhigh,vhigh,3,4,0,0,unacc
vhigh,vhigh,3,4,0,1,unacc
vhigh,vhigh,3,4,1,-1,unacc
vhigh,vhigh,3,4,1,0,unacc
vhigh,vhigh,3,4,1,1,unacc
vhigh,vhigh,3,6,-1,-1,unacc
vhigh,vhigh,3,6,-1,0,unacc
vhigh,vhigh,3,6,-1,1,unacc
vhigh,vhigh,3,6,0,-1,unacc
vhigh,vhigh,3,6,0,0,unacc
vhigh,vhigh,3,6,0,1,unacc
vhigh,vhigh,3,6,1,-1,unacc
vhigh,vhigh,3,6,1,0,unacc
vhigh,vhigh,3,6,1,1,unacc
vhigh,vhigh,4,2,-1,-1,unacc
vhigh,vhigh,4,2,-1,0,unacc
vhigh,vhigh,4,2,-1,1,unacc
vhigh,vhigh,4,2,0,-1,unacc
vhigh,vhigh,4,2,0,0,unacc
vhigh,vhigh,4,2,0,1,unacc
vhigh,vhigh,4,2,1,-1,unacc
vhigh,vhigh,4,2,1,0,unacc
vhigh,vhigh,4,2,1,1,unacc
vhigh,vhigh,4,4,-1,-1,unacc
vhigh,vhigh,4,4,-1,0,unacc
vhigh,vhigh,4,4,-1,1,unacc
vhigh,vhigh,4,4,0,-1,unacc
vhigh,vhigh,4,4,0,0,unacc
vhigh,vhigh,4,4,0,1,unacc
vhigh,vhigh,4,4,1,-1,unacc
vhigh,vhigh,4,4,1,0,unacc
vhigh,vhigh,4,4,1,1,unacc
vhigh,vhigh,4,6,-1,-1,unacc
vhigh,vhigh,4,6,-1,0,unacc
vhigh,vhigh,4,6,-1,1,unacc
vhigh,vhigh,4,6,0,-1,unacc
vhigh,vhigh,4,6,0,0,unacc
vhigh,vhigh,4,6,0,1,unacc
vhigh,vhigh,4,6,1,-1,unacc
vhigh,vhigh,4,6,1,0,unacc
vhigh,vhigh,4,6,1,1,unacc
vhigh,vhigh,4,2,-1,-1,unacc
vhigh,vhigh,4,2,-1,0,unacc
vhigh,vhigh,4,2,-1,1,unacc
vhigh,vhigh,4,2,0,-1,unacc
vhigh,vhigh,4,2,0,0,unacc
vhigh,vhigh,4,2,0,1,unacc
vhigh,vhigh,4,2,1,-1,unacc
vhigh,vhigh,4,2,1,0,unacc
vhigh,vhigh,4,2,1,1,unacc
vhigh,vhigh,4,4,-1,-1,unacc
vhigh,vhigh,4,4,-1,0,unacc
vhigh,vhigh,4,4,-1,1,unacc
vhigh,vhigh,4,4,0,-1,unacc
vhigh,vhigh,4,4,0,0,unacc
vhigh,vhigh,4,4,0,1,unacc
vhigh,vhigh,4,4,1,-1,unacc
vhigh,vhigh,4,4,1,0,unacc
vhigh,vhigh,4,4,1,1,unacc
vhigh,vhigh,4,6,-1,-1,unacc
vhigh,vhigh,4,6,-1,0,unacc
vhigh,vhigh,4,6,-1,1,unacc
vhigh,vhigh,4,6,0,-1,unacc
vhigh,vhigh,4,6,0,0,unacc
vhigh,vhigh,4,6,0,1,unacc
vhigh,vhigh,4,6,1,-1,unacc
vhigh,vhigh,4,6,1,0,unacc
vhigh,vhigh,4,6,1,1,unacc
vhigh,high,2,2,-1,-1,unacc
vhigh,high,2,2,-1,0,unacc
vhigh,high,2,2,-1,1,unacc
vhigh,high,2,2,0,-1,unacc
vhigh,high,2,2,0,0,unacc
vhigh,high,2,2,0,1,unacc
vhigh,high,2,2,1,-1,unacc
vhigh,high,2,2,1,0,unacc
vhigh,high,2,2,1,1,unacc
vhigh,high,2,4,-1,-1,unacc
vhigh,high,2,4,-1,0,unacc
vhigh,high,2,4,-1,1,unacc
vhigh,high,2,4,0,-1,unacc
vhigh,high,2,4,0,0,unacc
vhigh,high,2,4,0,1,unacc
vhigh,high,2,4,1,-1,unacc
vhigh,high,2,4,1,0,unacc
vhigh,high,2,4,1,1,unacc
vhigh,high,2,6,-1,-1,unacc
vhigh,high,2,6,-1,0,unacc
vhigh,high,2,6,-1,1,unacc
vhigh,high,2,6,0,-1,unacc
vhigh,high,2,6,0,0,unacc
vhigh,high,2,6,0,1,unacc
vhigh,high,2,6,1,-1,unacc
vhigh,high,2,6,1,0,unacc
vhigh,high,2,6,1,1,unacc
vhigh,high,3,2,-1,-1,unacc
vhigh,high,3,2,-1,0,unacc
vhigh,high,3,2,-1,1,unacc
vhigh,high,3,2,0,-1,unacc
vhigh,high,3,2,0,0,unacc
vhigh,high,3,2,0,1,unacc
vhigh,high,3,2,1,-1,unacc
vhigh,high,3,2,1,0,unacc
