SeqNo,Checking,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRate,GenderMarital,OtherDebtors,YearsAtResidence,RealEstate,Age,OtherInstallment,Housing,ExistingCredits,Job,NumLiable,Phone,Foreign,Credit
1,A11,6,Critical Account,radio/television,1169,A65,>= 7 years,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,Good
2,A12,48,Up To Date,radio/television,5951,A61,1 - 4 years,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,Bad
3,A14,12,Critical Account,education,2096,A61,4 - 7 years,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,Good
4,A11,42,Up To Date,furniture/equipment,7882,A61,4 - 7 years,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,Good
5,A11,24,Late Payment,car (new),4870,A61,1 - 4 years,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,Bad
6,A14,36,Up To Date,education,9055,A65,1 - 4 years,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,Good
7,A14,24,Up To Date,furniture/equipment,2835,A63,>= 7 years,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,Good
8,A12,36,Up To Date,car (used),6948,A61,1 - 4 years,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,Good
9,A14,12,Up To Date,radio/television,3059,A64,4 - 7 years,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,Good
10,A12,30,Critical Account,car (new),5234,A61,unemployed,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,Bad
11,A12,12,Up To Date,car (new),1295,A61,< 1 year,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,Bad
12,A11,48,Up To Date,business,4308,A61,< 1 year,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,Bad
13,A12,12,Up To Date,radio/television,1567,A61,1 - 4 years,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,Good
14,A11,24,Critical Account,car (new),1199,A61,>= 7 years,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,Bad
15,A11,15,Up To Date,car (new),1403,A61,1 - 4 years,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,Good
16,A11,24,Up To Date,radio/television,1282,A62,1 - 4 years,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,Bad
17,A14,24,Critical Account,radio/television,2424,A65,>= 7 years,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,Good
18,A11,30,All Paid,business,8072,A65,< 1 year,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,Good
19,A12,24,Up To Date,car (used),12579,A61,>= 7 years,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,Bad
20,A14,24,Up To Date,radio/television,3430,A63,>= 7 years,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,Good
21,A14,9,Critical Account,car (new),2134,A61,1 - 4 years,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,Good
22,A11,6,Up To Date,radio/television,2647,A63,1 - 4 years,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,Good
23,A11,10,Critical Account,car (new),2241,A61,< 1 year,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,Good
24,A12,12,Critical Account,car (used),1804,A62,< 1 year,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,Good
25,A14,10,Critical Account,furniture/equipment,2069,A65,1 - 4 years,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,Good
26,A11,6,Up To Date,furniture/equipment,1374,A61,1 - 4 years,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,Good
27,A14,6,All Paid,radio/television,426,A61,>= 7 years,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,Good
28,A13,12,All Paid This Bank,radio/television,409,A64,1 - 4 years,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,Good
29,A12,7,Up To Date,radio/television,2415,A61,1 - 4 years,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,Good
30,A11,60,Late Payment,business,6836,A61,>= 7 years,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,Bad
31,A12,18,Up To Date,business,1913,A64,< 1 year,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,Good
32,A11,24,Up To Date,furniture/equipment,4020,A61,1 - 4 years,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,Good
