Borough,Site type,Park/Site Name,Address,Latitude,Longitude
Bronx,Subproperty,227th St. Plgd,E 227 St/Bronx River Pkway,40.89084899,-73.86422392
Bronx,Subproperty,Allerton Ballfields,Allerton Ave & Moshulu Pkway,40.84889079,-73.87712839
Bronx,Outdoor,Arthur Ave & E 187 St,Arthur Ave & 187 St,40.85557,-73.887565
Bronx,Outdoor ,Barstow Mansion,"895 Shore Road, Pelham Bay Park",40.871864,-73.805549
Bronx,Subproperty,Bradley Playground,2001-2017 Bronx Park E,40.851889,-73.868549
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.861526,-73.880659
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.860755,-73.880423
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.859644,-73.880472
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.862602,-73.880171
Bronx,Outdoor,Bronx County Courthouse,161 ST/Grand Concourse,40.826939,-73.922314
Bronx,Outdoor,Bronx County Courthouse,161 ST/Grand Concourse,40.826627,-73.922447
Bronx,Outdoor ,Bronx Park,Lydig Ave & Bronx Park E,40.854322,-73.869764
Bronx,Outdoor ,Bronx Park Playground at Lydig,Lydig Ave & Bronx Park E,40.854445,-73.869863
Bronx,Outdoor,Bronx Zoo,Entrance to Cafeteria,40.84976,-73.880055
Bronx,Outdoor,Bronx Zoo,Cafeteria,40.850017,-73.880035
Bronx,Greenthumb,Bryant Hill Community Garden,Bryant Avenue Bet. Seneca and Garrison Aves.,40.819933,-73.887069
Bronx,Outdoor ,Burke Bridge,,40.871706,-73.872741
Bronx,Outdoor,College of Mt. St. Vincent,In front of Alumnae Hall,40.911295,-73.907652
Bronx,Outdoor,College of Mt. St. Vincent,In front of Cardinal Spellman Hall,40.911236,-73.90791
Bronx,Outdoor ,Concrete Plant Park,Bronx River bet. Westchster Av and Bruckner Blvd,40.825217,-73.88546
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.840115,-73.895513
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.835226,-73.895652
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.84133,-73.892702
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.840876,-73.898206
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.838351,-73.893566
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.841123,-73.898056
Bronx,Outdoor,E 174 St & Manor Ave,174 St & Manor Ave,40.83377,-73.877453
Bronx,Outdoor,E 176 St & Marmion Ave,176 St & Marmion Ave,40.841444,-73.888487
Bronx,Outdoor,E Gun Hill Rd & Bronxwood Ave,Gun Hill Rd & Bronxwood Ave,40.875553,-73.860526
Bronx,Outdoor,E Tremont Ave & Bruckner Blvd,Tremont Ave & Bruckner Blvd,40.833109,-73.828285
Bronx,Outdoor,E Tremont Ave & University Ave,Tremont Ave & University Ave,40.85042,-73.915529
Bronx,Outdoor ,Echo Park,315 Echo Pl,40.849292,-73.902175
Bronx,Greenthumb,Edith Community Garden (830 Elton Tenants Assoc.),836 Elton Avenue ,40.822893,-73.91266
Bronx,Greenthumb,El Flamboyan,Tinton Avenue @ E. 150th Street ,40.813663,-73.905898
Bronx,Greenthumb,Family Group Garden,419 East 158th Street ,40.82201,-73.914009
Bronx,Outdoor ,Fordham University,Grand Concourse West & Fordham Rd,40.862402,-73.897174
Bronx,Outdoor ,Fordham University,Main Entrance (Kazimiroff Blvd),40.861379,-73.881414
Bronx,Outdoor,Fordham University,Side Entrance (E Fordham Rd & 3 Ave),40.861267,-73.89014
Bronx,Outdoor,Fordham University,Kingsbridge Rd & Fordham Rd,40.861948,-73.893726
Bronx,Subproperty,French Charley Playground,"E 204 St, W/S Bronx Park",40.869996,-73.876238
Bronx,Greenthumb,Hornaday Community Garden (volky Flower Garden),851 Hornaday Avenue,40.847026,-73.882534
Bronx,Outdoor ,HUB 3rd Ave,3 Ave & 149 St,40.816171,-73.917594
