purchase,age,gender,income
0,41,Female,Low
0,47,Female,Low
1,41,Female,Low
1,39,Female,Low
0,32,Female,Low
0,32,Female,Low
0,33,Female,Low
0,45,Female,Low
0,43,Female,Low
0,40,Female,Low
0,39,Female,Low
1,46,Female,Low
0,38,Female,Low
0,38,Female,Low
1,44,Female,Low
0,39,Female,Low
0,26,Female,Low
0,45,Female,Low
0,40,Female,Low
0,35,Female,Low
1,30,Female,Low
0,44,Female,Low
1,47,Female,Low
1,35,Female,Low
0,36,Female,Low
0,34,Female,Low
1,38,Female,Low
0,38,Female,Low
0,47,Female,Low
0,41,Female,Low
0,45,Female,Low
1,37,Female,Low
1,38,Female,Low
1,29,Female,Low
1,40,Female,Low
0,35,Female,Low
0,44,Female,Low
0,39,Female,Low
1,50,Female,Low
1,41,Female,Low
0,41,Female,Low
0,40,Female,Low
1,38,Female,Low
1,36,Female,Low
1,37,Female,Low
0,39,Female,Low
0,41,Female,Low
1,33,Female,Low
1,51,Female,Low
0,31,Female,Low
0,31,Female,Low
0,35,Female,Low
0,46,Female,Low
1,39,Female,Low
0,47,Female,Low
0,40,Female,Low
1,56,Female,Low
0,36,Female,Low
0,37,Female,Low
0,36,Female,Low
0,44,Female,Low
1,36,Female,Low
0,40,Female,Low
1,38,Female,Low
0,35,Female,Low
1,35,Female,Low
0,45,Female,Low
0,41,Female,Low
0,42,Female,Low
1,37,Female,Low
0,55,Female,Low
1,41,Female,Low
1,33,Female,Low
1,36,Female,Low
0,33,Female,Low
0,38,Female,Low
0,38,Female,Low
0,55,Female,Low
0,50,Female,Low
1,31,Female,Low
1,37,Female,Low
1,37,Female,Low
0,38,Female,Low
0,41,Female,Low
0,42,Female,Low
1,34,Female,Low
1,31,Female,Low
0,28,Female,Low
1,35,Female,Low
1,39,Female,Medium
0,39,Female,Medium
1,34,Female,Medium
1,45,Female,Medium
0,41,Female,Medium
0,42,Female,Medium
0,46,Female,Medium
0,42,Female,Medium
0,33,Female,Medium
1,47,Female,Medium
1,39,Female,Medium
0,41,Female,Medium
0,33,Female,Medium
0,43,Female,Medium
1,31,Female,Medium
1,43,Female,Medium
0,45,Female,Medium
1,48,Female,Medium
0,40,Female,Medium
1,35,Female,Medium
0,33,Female,Medium
1,34,Female,Medium
1,43,Female,Medium
0,35,Female,Medium
1,31,Female,Medium
0,48,Female,Medium
1,36,Female,Medium
0,39,Female,Medium
0,37,Female,Medium
0,40,Female,Medium
0,39,Female,Medium
1,44,Female,Medium
0,35,Female,Medium
0,33,Female,Medium
1,34,Female,Medium
0,50,Female,Medium
1,44,Female,Medium
0,40,Female,Medium
0,36,Female,Medium
1,41,Female,Medium
1,37,Female,Medium
1,38,Female,Medium
0,38,Female,Medium
1,41,Female,Medium
0,36,Female,Medium
0,42,Female,Medium
1,43,Female,Medium
0,43,Female,Medium
0,50,Female,Medium
0,42,Female,Medium
0,42,Female,Medium
0,38,Female,Medium
0,33,Female,Medium
0,39,Female,Medium
1,41,Female,Medium
1,44,Female,Medium
0,42,Female,Medium
1,33,Female,Medium
1,49,Female,Medium
0,40,Female,Medium
1,37,Female,Medium
0,38,Female,Medium
0,36,Female,Medium
0,39,Female,Medium
1,34,Female,Medium
0,44,Female,Medium
1,34,Female,Medium
0,39,Female,Medium
1,38,Female,Medium
1,34,Female,Medium
1,52,Female,Medium
1,41,Female,High
0,41,Female,High
0,37,Female,High
0,45,Female,High
0,44,Female,High
1,35,Female,High
0,30,Female,High
0,28,Female,High
1,40,Female,High
0,33,Female,High
1,44,Female,High
0,39,Female,High
0,42,Female,High
0,31,Female,High
0,29,Female,High
0,49,Female,High
1,33,Female,High
1,35,Female,High
0,34,Female,High
1,40,Female,High
1,40,Female,High
0,32,Female,High
1,38,Female,High
1,23,Female,High
1,49,Female,High
1,39,Female,High
0,32,Female,High
0,43,Female,High
1,38,Female,High
0,34,Female,High
0,38,Female,High
0,35,Female,High
0,45,Female,High
1,28,Female,High
1,35,Female,High
0,26,Female,High
1,38,Female,High
1,34,Female,High
1,46,Female,High
0,35,Female,High
0,36,Female,High
0,37,Female,High
0,48,Female,High
0,41,Female,High
0,40,Female,High
1,51,Female,High
1,45,Female,High
0,33,Female,High
1,37,Female,High
1,36,Female,High
0,42,Female,High
1,51,Female,High
1,51,Female,High
1,41,Female,High
1,26,Female,High
1,49,Female,High
0,46,Female,High
0,41,Female,High
0,40,Female,High
1,44,Female,High
0,35,Female,High
0,40,Female,High
0,37,Female,High
1,32,Female,High
1,45,Female,High
1,29,Female,High
1,41,Female,High
1,39,Female,High
0,26,Female,High
0,30,Female,High
1,38,Female,High
0,35,Female,High
0,39,Female,High
0,24,Female,High
0,32,Female,High
0,46,Female,High
