Country,State,Gender,Source,GPA,Status,InState,Zip,Race,Religion,Distance.to.Campus.miles.,Family.Income
USA,FL,Male,CollegeBoard,4,SUSPECT-PROSPECT,N,'33955,White,,1058.779131,44047
USA,NY,Male,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'11358,Asian,,NA,NA
USA,NM,Female,NRCCUA,4,SUSPECT-PROSPECT,N,'87122,White,,1785.969846,NA
USA,PA,Male,CollegeBoard,4,SUSPECT-PROSPECT,N,'15228,White,,304.8428642,116213
USA,OH,Male,CollegeBoard,NA,SUSPECT-PROSPECT,N,'45066,Black/African American,,531.6805264,151388
USA,PA,Male,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'17057,White,,136.7409769,105356
USA,FL,Female,CollegeBoard,2.7,SUSPECT-PROSPECT,N,'33193,Other,,1098.261061,77130
USA,NJ,Male,CollegeBoard,NA,SUSPECT-PROSPECT,Y,'08755,,,48.45204749,69729
USA,NY,Female,PSAT,NA,SUSPECT-PROSPECT,N,'11354,American Indian/Alaskan Native,,22.16415514,52631
USA,CA,Female,CollegeBoard,NA,SUSPECT-PROSPECT,N,'90056,Black/African American,,2440.342856,123025
USA,IL,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'60439,White,,712.3647551,140120
USA,TX,Female,NRCCUA,4,SUSPECT-PROSPECT,N,'75063,White,,1362.480234,180155
,,Female,CollegeBoard,NA,SUSPECT-PROSPECT,N,'44000,Asian,,NA,NA
USA,CA,Female,NRCCUA,3.3,SUSPECT-PROSPECT,N,'94602,Prefer not to Respond,,2538.513407,167072
USA,CA,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'91977,Asian,,2406.232965,93687
USA,NY,Female,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'14150,White,,282.838651,59425
USA,IL,Female,PSAT,NA,SUSPECT-PROSPECT,N,'60564,,,726.8258891,NA
USA,MI,Female,NRCCUA,4,SUSPECT-PROSPECT,N,'48609,White,Household Religion - Catholic,536.3692389,89359
USA,NJ,Male,Prospects,NA,APPLICANT,Y,'08836,,,18.81175913,168819
USA,FL,Male,NRCCUA,3.7,SUSPECT-PROSPECT,N,'33449,Prefer not to Respond,,1034.079564,104359
USA,FL,Male,NRCCUA,4,SUSPECT-PROSPECT,N,'33027,Black/African American,,1077.562403,100795
USA,WA,Male,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'98338,Mexican,,2394.457476,68894
USA,OH,Male,NRCCUA,3.3,SUSPECT-PROSPECT,N,'43082,Hispanic/Latino,,455.4828906,113932
USA,CA,Male,NRCCUA,4,SUSPECT-PROSPECT,N,'90262,Hispanic/Latino,Household Religion - Catholic,2432.996454,42460
USA,FL,Male,CollegeBoard,NA,SUSPECT-PROSPECT,N,'32258,Asian,,838.3456848,93424
USA,MA,Male,CollegeBoard,2.7,SUSPECT-PROSPECT,N,'01720,Black/African American,,187.0082866,153177
USA,NY,Female,CollegeBoard,NA,SUSPECT-PROSPECT,N,'14534,,,229.9169952,130293
,,Male,PSAT,NA,SUSPECT-PROSPECT,N,No Data,,,NA,NA
USA,FL,Male,NRCCUA,4,SUSPECT-PROSPECT,N,'34996,White,,995.2423151,81533
USA,TX,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'77459,White,,NA,NA
USA,FL,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'33181,Black/African American,,1078.994577,32064
USA,FL,Male,CollegeBoard,4,SUSPECT-PROSPECT,N,'32092,White,,844.8821802,96398
USA,CA,Male,CollegeBoard,NA,SUSPECT-PROSPECT,N,'91780,,,2420.193646,NA
USA,PA,Male,NRCCUA,4,SUSPECT-PROSPECT,N,'19081,White,,81.18894767,172865
USA,CA,Male,PSAT,NA,SUSPECT-PROSPECT,N,'95128,,,2536.775866,112499
USA,GA,,PSAT,NA,SUSPECT-PROSPECT,N,'30328,White,,729.4717629,172058
USA,FL,Male,CollegeBoard,NA,SUSPECT-PROSPECT,N,'33972,Prefer not to respond,,1062.223787,64845
USA,TX,Male,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'77379,White,,1400.570226,172515
USA,PA,Male,CollegeBoard,NA,SUSPECT-PROSPECT,N,'18612,White,,99.06980367,74094
USA,AZ,Female,PSAT,NA,SUSPECT-PROSPECT,N,'85296,,,2112.574064,98749
USA,NV,Male,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'89149,White,,2217.926459,78499
USA,TX,Female,NRCCUA,4,SUSPECT-PROSPECT,N,'78201,Hispanic/Latino,Household Religion - Catholic,1569.415629,25499
USA,IN,Female,NRCCUA,4,SUSPECT-PROSPECT,N,'46383,Other,,664.8819879,80413
USA,RI,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'02879,Asian,,150.187515,104610
USA,FL,Male,PSAT,NA,SUSPECT-PROSPECT,N,'32955,,,936.363124,98310
USA,GA,Female,NRCCUA,4,SUSPECT-PROSPECT,N,'30075,White,,720.578644,115484
USA,NY,Female,NRCCUA,3.7,SUSPECT-PROSPECT,N,'11550,Black/African American,,34.77750096,69937
USA,NC,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'27510,Asian,,424.7212765,61292
USA,NY,Female,CollegeBoard,4,SUSPECT-PROSPECT,N,'11797,White,,40.70076786,182257
USA,IL,Female,PSAT,NA,SUSPECT-PROSPECT,N,'60103,,,724.2850244,93191
USA,FL,Female,CollegeBoard,NA,SUSPECT-PROSPECT,N,'34737,Hispanic/Latino,,936.2963146,68186
,,Male,CollegeBoard,NA,SUSPECT-PROSPECT,N,No Data,,,2422.749409,NA
USA,GA,Male,CollegeBoard,3.2,SUSPECT-PROSPECT,N,'30064,White,,735.440759,111172
USA,MD,Male,CollegeBoard,2.7,SUSPECT-PROSPECT,N,'21774,White,,185.3869021,120426
USA,TX,Male,NRCCUA,3.7,SUSPECT-PROSPECT,N,'75052,American Indian/Alaskan Native,Household Religion - Catholic,1373.452426,48635
