id,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
A00175,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,31,Single,0,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,,,less1,gt8,1~3,less1,1,0,0,0,1
A01360,Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Unmarried partner,0,Bachelors degree,Legal,$100000 or More,,never,less1,less1,1~3,1~3,1,0,0,1,0
A02292,Home,Alone,Sunny,55,6PM,Coffee House,1d,Male,26,Unmarried partner,1,Some college - no degree,Transportation & Material Moving,$12500 - $24999,,1~3,4~8,1~3,4~8,less1,1,1,0,1,0
A03767,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,,1~3,less1,4~8,less1,never,1,1,0,0,1
A03805,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,,never,4~8,1~3,1~3,never,1,1,0,0,1
A04252,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,,never,less1,4~8,4~8,less1,1,0,0,0,1
A04593,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Male,31,Single,0,High School Graduate,Unemployed,$12500 - $24999,,never,never,1~3,1~3,1~3,1,1,1,0,1
A04605,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),1d,Male,31,Single,0,High School Graduate,Production Occupations,$25000 - $37499,,1~3,never,4~8,1~3,less1,1,1,0,0,1
A04616,Home,Alone,Sunny,80,6PM,Carry out & Take away,2h,Female,below21,Single,0,Bachelors degree,Student,$12500 - $24999,,gt8,1~3,less1,4~8,gt8,1,1,0,1,0
A04897,Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,,1~3,never,4~8,4~8,less1,1,1,1,0,1
A04941,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,50plus,Married partner,0,Some college - no degree,Unemployed,$25000 - $37499,,never,never,1~3,4~8,never,1,1,1,0,1
A05798,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,,1~3,never,4~8,never,1~3,1,0,0,0,1
A05895,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Female,26,Married partner,0,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,,4~8,1~3,4~8,4~8,1~3,1,0,0,1,0
A06955,Home,Alone,Sunny,55,10PM,Carry out & Take away,1d,Female,50plus,Single,0,Bachelors degree,Unemployed,Less than $12500,,never,never,less1,less1,never,1,1,1,0,1
A07001,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Female,36,Unmarried partner,0,Associates degree,Unemployed,$75000 - $87499,,never,never,gt8,gt8,1~3,1,1,1,0,1
A07038,No Urgent Place,Friend(s),Sunny,55,6PM,Carry out & Take away,1d,Male,46,Single,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,,never,gt8,1~3,4~8,less1,1,1,0,0,1
A07865,Home,Alone,Sunny,55,6PM,Restaurant(20-50),2h,Male,21,Single,0,Bachelors degree,Student,$100000 or More,,1~3,4~8,1~3,4~8,1~3,1,1,0,0,1
A09428,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,36,Married partner,0,Associates degree,Protective Service,$100000 or More,,4~8,never,4~8,4~8,1~3,1,1,0,0,1
A10122,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Female,below21,Single,0,High School Graduate,Unemployed,Less than $12500,,never,never,4~8,4~8,never,1,0,0,1,0
A10151,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Single,0,Bachelors degree,Transportation & Material Moving,$25000 - $37499,,less1,1~3,4~8,gt8,less1,1,0,0,0,1
A10234,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Management,$62500 - $74999,,1~3,4~8,4~8,4~8,1~3,1,0,0,0,1
A11249,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$25000 - $37499,,never,less1,gt8,4~8,less1,1,0,0,0,1
A11546,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,,1~3,4~8,4~8,1~3,less1,1,1,1,0,1
A11881,Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Single,0,High School Graduate,Sales & Related,$12500 - $24999,,never,never,4~8,1~3,never,1,0,0,1,0
A12053,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,36,Unmarried partner,1,Some college - no degree,Unemployed,$87500 - $99999,,1~3,less1,4~8,1~3,less1,1,1,0,0,1
A12421,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$12500 - $24999,,never,1~3,less1,1~3,1~3,1,1,0,0,1
A13032,Home,Alone,Snowy,30,6PM,Coffee House,1d,Male,26,Married partner,0,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,,1~3,1~3,1~3,4~8,4~8,1,1,0,0,1
A13081,No Urgent Place,Alone,Sunny,80,10PM,Restaurant(<20),1d,Female,21,Single,0,Associates degree,Sales & Related,$25000 - $37499,,4~8,1~3,4~8,1~3,less1,1,0,0,0,1
A14653,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,26,Unmarried partner,0,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,1~3,1~3,1~3,1~3,1,0,0,0,1
A15465,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,,never,less1,4~8,1~3,less1,1,1,0,0,1
A15615,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$12500 - $24999,,less1,1~3,gt8,gt8,1~3,1,1,0,0,1
A15789,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,31,Single,0,High School Graduate,Production Occupations,$25000 - $37499,,1~3,never,4~8,1~3,less1,1,0,0,0,1
A15866,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,1~3,1~3,less1,1,1,0,0,1
A15890,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,,never,less1,1~3,1~3,never,1,0,0,0,1
A16388,Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Widowed,0,Some college - no degree,Construction & Extraction,Less than $12500,,never,never,less1,1~3,less1,1,0,0,1,0
A16517,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Male,26,Single,0,Associates degree,Management,$37500 - $49999,,4~8,1~3,4~8,1~3,less1,1,1,0,0,1
A17830,No Urgent Place,Friend(s),Rainy,55,10PM,Restaurant(20-50),2h,Male,31,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,,never,never,1~3,1~3,1~3,1,1,0,0,1
A18208,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Female,below21,Single,0,High School Graduate,Unemployed,Less than $12500,,never,never,4~8,4~8,never,1,0,0,1,0
A18704,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,21,Married partner,1,Some college - no degree,Sales & Related,$25000 - $37499,,less1,1~3,4~8,1~3,never,1,0,0,0,1
A19026,Home,Alone,Rainy,55,6PM,Bar,1d,Female,21,Single,0,Associates degree,Sales & Related,$25000 - $37499,,4~8,1~3,4~8,1~3,less1,1,1,1,0,1
A19155,No Urgent Place,Partner,Snowy,30,10AM,Restaurant(<20),1d,Male,below21,Unmarried partner,0,Some college - no degree,Student,$25000 - $37499,,never,never,1~3,less1,never,1,0,0,0,1
A19346,No Urgent Place,Friend(s),Sunny,80,10PM,Coffee House,1d,Male,below21,Single,0,Some college - no degree,Student,$25000 - $37499,,never,never,less1,never,,1,1,0,0,1
A19653,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,21,Single,0,Some college - no degree,Management,$25000 - $37499,,4~8,less1,gt8,1~3,1~3,1,0,0,0,1
